Round,Opponent,Result,Venue,GF,GA,xG,xGA,Poss,Avg_GF,Avg_GA,Avg_xG,Avg_xGA,Avg_Poss,Label,Form_Score
13,Bournemouth,L,Home,1,3,0.8,2.9,46,1.0,2.3333333333333335,0.6999999999999998,1.8333333333333333,37.0,-1,5.777777777777777
13,Aston Villa,L,Home,1,2,2.3,1.7,62,1.3333333333333333,2.3333333333333335,0.9,2.266666666666666,57.666666666666664,-1,6.666666666666666
13,Burnley,W,Away,2,1,0.9,1.3,50,1.6666666666666667,2.0,1.4333333333333333,1.3333333333333333,53.333333333333336,1,5.555555555555555
13,Fulham,L,Away,2,3,1.4,2.9,40,1.6666666666666667,1.6666666666666667,1.4000000000000001,1.3,48.666666666666664,-1,7.333333333333333
14,Wolves,W,Home,2,1,2.8,0.7,57,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.8000000000000002,61.333333333333336,1,8.222222222222221
14,Bournemouth,D,Away,2,2,0.7,2.0,62,1.6666666666666667,1.3333333333333333,1.9666666666666666,1.2,54.0,0,8.666666666666668
14,Aston Villa,D,Home,2,2,2.0,0.7,38,2.0,2.3333333333333335,2.066666666666667,1.0666666666666669,45.666666666666664,0,7.777777777777778
14,Luton Town,W,Home,3,1,3.1,0.2,68,1.0,2.0,1.4000000000000001,1.7,45.666666666666664,1,6.666666666666666
14,Chelsea,L,Away,2,3,1.1,2.1,68,1.6666666666666667,1.3333333333333333,1.0999999999999999,1.2333333333333334,64.33333333333333,-1,7.111111111111112
14,Sheffield Utd,W,Home,5,0,1.8,0.4,63,0.6666666666666666,2.3333333333333335,0.9,1.3333333333333337,51.333333333333336,1,3.333333333333333
14,Brighton,W,Home,3,2,2.1,1.1,32,3.0,3.0,2.5,2.0666666666666664,50.333333333333336,1,5.888888888888889
14,West Ham,D,Away,1,1,0.9,1.1,45,1.6666666666666667,1.6666666666666667,1.7,1.1666666666666667,53.666666666666664,0,4.666666666666667
14,Nott'ham Forest,W,Away,1,0,0.7,0.7,39,1.3333333333333333,2.0,1.5333333333333332,1.6333333333333335,35.0,1,6.666666666666666
14,Liverpool,L,Away,3,4,1.2,2.1,39,1.3333333333333333,2.0,1.5999999999999999,1.7,51.333333333333336,-1,5.666666666666666
14,Fulham,W,Home,4,3,2.1,1.2,61,1.6666666666666667,0.6666666666666666,1.6333333333333335,1.2333333333333334,57.333333333333336,1,8.444444444444445
14,Brentford,L,Away,1,3,0.2,3.1,32,1.0,1.0,0.7000000000000001,2.1333333333333333,34.0,-1,6.222222222222222
