,Round_home,Team_home,Opponent_home,Result_home,Venue_home,GF_home,GA_home,xG_home,xGA_home,Poss_home,Avg_GF_home,Avg_GA_home,Avg_xG_home,Avg_xGA_home,Avg_Poss_home,Label_home,Form_home,Opponent_Match_ID,Round_away,Team_away,Opponent_away,Result_away,Venue_away,GF_away,GA_away,xG_away,xGA_away,Poss_away,Avg_GF_away,Avg_GA_away,Avg_xG_away,Avg_xGA_away,Avg_Poss_away,Label_away,Form_away,Match_ID,Label
14-Burnley-Sheffield-United,14,Burnley,Sheffield-United,W,Home,5,0,1.8,0.4,63,0.6666666666666666,2.3333333333333335,0.9,1.3333333333333337,51.333333333333336,1,3.333333333333333,14-Sheffield-United-Burnley,14,Sheffield-United,Burnley,L,Away,0,5,0.4,1.8,37,1.3333333333333333,1.6666666666666667,0.9666666666666665,1.8666666666666665,41.333333333333336,-1,6.222222222222222,14-Sheffield-United-Burnley,1
14-Chelsea-Brighton-and-Hove-Albion,14,Chelsea,Brighton-and-Hove-Albion,W,Home,3,2,2.1,1.1,32,3.0,3.0,2.5,2.0666666666666664,50.333333333333336,1,6.222222222222222,14-Brighton-and-Hove-Albion-Chelsea,14,Brighton-and-Hove-Albion,Chelsea,L,Away,2,3,1.1,2.1,68,1.6666666666666667,1.3333333333333333,1.0999999999999999,1.2333333333333334,64.33333333333333,-1,8.0,14-Brighton-and-Hove-Albion-Chelsea,1
14-Liverpool-Fulham,14,Liverpool,Fulham,W,Home,4,3,2.1,1.2,61,1.6666666666666667,0.6666666666666666,1.6333333333333335,1.2333333333333334,57.333333333333336,1,7.777777777777778,14-Fulham-Liverpool,14,Fulham,Liverpool,L,Away,3,4,1.2,2.1,39,1.3333333333333333,2.0,1.5999999999999999,1.7,51.333333333333336,-1,6.0,14-Fulham-Liverpool,1
14-Newcastle-United-Manchester-United,14,Newcastle-United,Manchester-United,W,Home,1,0,2.4,0.5,58,1.6666666666666667,1.0,1.3,1.1666666666666667,49.333333333333336,1,7.777777777777778,14-Manchester-United-Newcastle-United,14,Manchester-United,Newcastle-United,L,Away,0,1,0.5,2.4,42,1.6666666666666667,0.0,1.7,1.2666666666666668,56.0,-1,10.0,14-Manchester-United-Newcastle-United,1
14-Nottingham-Forest-Everton,14,Nottingham-Forest,Everton,L,Home,0,1,0.7,0.7,61,2.0,2.0,1.3333333333333333,1.4333333333333333,40.0,-1,5.111111111111111,14-Everton-Nottingham-Forest,14,Everton,Nottingham-Forest,W,Away,1,0,0.7,0.7,39,1.3333333333333333,2.0,1.5333333333333332,1.6333333333333335,35.0,1,6.444444444444445,14-Everton-Nottingham-Forest,-1
14-West-Ham-United-Crystal-Palace,14,West-Ham-United,Crystal-Palace,D,Home,1,1,1.1,0.9,55,2.3333333333333335,2.0,1.5,1.5,48.666666666666664,0,8.222222222222221,14-Crystal-Palace-West-Ham-United,14,Crystal-Palace,West-Ham-United,D,Away,1,1,0.9,1.1,45,1.6666666666666667,1.6666666666666667,1.7,1.1666666666666667,53.666666666666664,0,5.111111111111111,14-Crystal-Palace-West-Ham-United,0
15-Aston-Villa-Manchester-City,15,Aston-Villa,Manchester-City,W,Home,1,0,2.3,0.6,46,2.3333333333333335,1.3333333333333333,1.7999999999999996,1.7333333333333332,50.333333333333336,1,8.666666666666668,15-Manchester-City-Aston-Villa,15,Manchester-City,Aston-Villa,L,Away,0,1,0.6,2.3,54,2.6666666666666665,2.6666666666666665,2.266666666666667,1.3333333333333333,56.333333333333336,-1,6.666666666666666,15-Manchester-City-Aston-Villa,1
15-Brighton-and-Hove-Albion-Brentford,15,Brighton-and-Hove-Albion,Brentford,W,Home,2,1,1.5,1.5,61,2.0,2.0,1.2999999999999998,1.7,60.666666666666664,1,6.444444444444445,15-Brentford-Brighton-and-Hove-Albion,15,Brentford,Brighton-and-Hove-Albion,L,Away,1,2,1.5,1.5,39,1.0,1.6666666666666667,1.9333333333333336,1.1666666666666667,49.0,-1,6.0,15-Brentford-Brighton-and-Hove-Albion,1
15-Crystal-Palace-Bournemouth,15,Crystal-Palace,Bournemouth,L,Home,0,2,1.0,1.8,59,1.3333333333333333,2.0,1.5666666666666667,1.1666666666666667,57.666666666666664,-1,4.666666666666667,15-Bournemouth-Crystal-Palace,15,Bournemouth,Crystal-Palace,W,Away,2,0,1.8,1.0,41,2.3333333333333335,1.0,2.433333333333333,0.6666666666666669,46.666666666666664,1,8.666666666666668,15-Bournemouth-Crystal-Palace,-1
15-Everton-Newcastle-United,15,Everton,Newcastle-United,W,Home,3,0,3.3,1.5,38,1.3333333333333333,1.6666666666666667,1.5333333333333332,1.7000000000000002,41.0,1,7.777777777777778,15-Newcastle-United-Everton,15,Newcastle-United,Everton,L,Away,0,3,1.5,3.3,62,1.6666666666666667,1.0,1.7666666666666666,1.1333333333333333,54.666666666666664,-1,8.222222222222221,15-Newcastle-United-Everton,1
